Data;Ora;μg/m3
01/05/2016;01.56.52;0,00
01/05/2016;01.57.52;0,00
01/05/2016;01.58.52;0,00
01/05/2016;01.59.52;0,00
01/05/2016;02.00.52;0,00
01/05/2016;02.01.52;0,00
01/05/2016;02.02.52;0,00
01/05/2016;02.03.52;0,00
01/05/2016;02.04.52;0,00
01/05/2016;02.05.52;0,00
01/05/2016;02.06.52;0,00
01/05/2016;02.07.52;0,00
01/05/2016;02.08.52;0,00
01/05/2016;02.09.52;0,00
01/05/2016;02.10.52;0,00
01/05/2016;02.11.52;0,00
01/05/2016;02.12.52;0,00
01/05/2016;02.13.52;0,00
01/05/2016;02.14.52;0,00
01/05/2016;02.15.52;0,00
01/05/2016;02.16.52;0,00
01/05/2016;02.17.52;0,00
01/05/2016;02.18.52;0,00
01/05/2016;02.19.52;0,00
01/05/2016;02.20.52;0,00
01/05/2016;02.21.52;0,00
01/05/2016;02.22.52;0,00
01/05/2016;02.23.52;0,00
01/05/2016;02.24.52;0,00
01/05/2016;02.25.52;0,00
01/05/2016;02.26.52;0,00
01/05/2016;02.27.52;0,00
01/05/2016;02.28.52;0,00
01/05/2016;02.29.52;0,00
01/05/2016;02.30.52;0,00
01/05/2016;02.31.52;0,00
01/05/2016;02.32.52;0,00
01/05/2016;02.33.52;0,00
01/05/2016;02.34.52;0,00
01/05/2016;02.35.52;0,00
01/05/2016;02.36.52;0,00
01/05/2016;02.37.52;0,00
01/05/2016;02.38.52;0,00
01/05/2016;02.39.52;0,00
01/05/2016;02.40.52;0,00
01/05/2016;02.41.52;0,00
01/05/2016;02.42.52;0,00
01/05/2016;02.43.52;0,00
01/05/2016;02.44.52;0,00
01/05/2016;02.45.52;0,00
01/05/2016;02.46.52;0,00
01/05/2016;02.47.52;0,00
01/05/2016;02.48.52;0,00
01/05/2016;02.49.52;0,00
01/05/2016;02.50.52;0,00
01/05/2016;02.51.52;0,00
01/05/2016;02.52.52;0,00
01/05/2016;02.53.52;0,00
01/05/2016;02.54.52;0,00
01/05/2016;02.55.52;0,00
01/05/2016;02.56.52;0,00
01/05/2016;02.57.52;0,00
01/05/2016;02.58.52;0,00
01/05/2016;02.59.52;0,00
01/05/2016;03.00.52;0,00
01/05/2016;03.01.52;0,00
01/05/2016;03.02.52;0,00
01/05/2016;03.03.52;0,00
01/05/2016;03.04.52;0,00
01/05/2016;03.05.52;0,00
01/05/2016;03.06.52;0,00
01/05/2016;03.07.52;0,00
01/05/2016;03.08.52;0,00
01/05/2016;03.09.52;0,00
01/05/2016;03.10.52;0,00
01/05/2016;03.11.52;0,00
01/05/2016;03.12.52;0,00
01/05/2016;03.13.52;0,00
01/05/2016;03.14.52;0,00
01/05/2016;03.15.52;0,00
01/05/2016;03.16.52;0,00
01/05/2016;03.17.52;0,00
01/05/2016;03.18.52;0,00
01/05/2016;03.19.52;0,00
01/05/2016;03.20.52;0,00
01/05/2016;03.21.52;0,00
01/05/2016;03.22.52;0,00
01/05/2016;03.23.52;0,00
01/05/2016;03.24.52;0,00
01/05/2016;03.25.52;0,00
01/05/2016;03.26.52;0,00
01/05/2016;03.27.52;0,00
01/05/2016;03.28.52;0,00
01/05/2016;03.29.52;0,00
01/05/2016;03.30.52;0,00
01/05/2016;03.31.52;0,00
01/05/2016;03.32.52;0,00
01/05/2016;03.33.52;0,00
01/05/2016;03.34.52;0,00
01/05/2016;03.35.52;0,00
01/05/2016;03.36.52;0,00
01/05/2016;03.37.52;0,00
01/05/2016;03.38.52;0,00
01/05/2016;03.39.52;0,00
01/05/2016;03.40.52;0,00
01/05/2016;03.41.52;0,00
01/05/2016;03.42.52;0,00
01/05/2016;03.43.52;0,00
01/05/2016;03.44.52;0,00
01/05/2016;03.45.52;0,00
01/05/2016;03.46.52;0,00
01/05/2016;03.47.52;0,00
01/05/2016;03.48.52;0,00
01/05/2016;03.49.52;0,00
01/05/2016;03.50.52;0,00
